,entity,freq
134,florida,145
186,new york,143
236,palm beach,113
114,denver,38
168,london,27
237,paris,22
181,miamidade,12
268,spain,9
23,bahamas,8
136,france,8
180,miami,7
133,fla,6
241,pennsylvania,4
121,england,4
273,us virgin islands,4
155,illinois,4
177,mannino,3
176,maine,3
16,addison,3
27,california,3
278,volusia,3
28,canada,3
124,exk,3
30,china,3
120,elhaddad,3
272,us virgin,3
112,cukuglu,2
183,nadia,2
185,new jersey,2
150,hong kong,2
252,schoepflin,2
164,kenia,2
250,rivera,2
158,japan,2
18,arkansas,2
242,philadelphia,2
25,brunei,2
179,mdff,1
163,karaduman,1
191,ofdavid,1
189,norwich,1
165,las vegas,1
169,los angeles,1
171,lugosch,1
184,nashville,1
192,ohio,1
178,mcfarland,1
194,orlando,1
248,regninnemarualekydninerrad,1
249,richmond,1
251,san ,1
195,orus,1
264,shenzhen,1
265,singapore,1
267,sjoberg,1
275,v virginia,1
276,virgin island homes,1
199,pagan,1
161,jeffreycase,1
19,armonk,1
20,arualekydninerrad,1
24,belgium,1
29,chile,1
116,dubai,1
117,dubin,1
122,enialsihgqse,1
129,finsbury,1
148,henderson,1
149,holryid,1
156,israel,1
157,jac,1
286,yimaz,1
